
Shortest Distance to Surfaces Surfaces=MCP
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
1.37012,,Spot,MCP,9,1000000000,0,
1.75236,,Spot,MCP,9,1000000000,1,
0.239045,,Spot,MCP,10,1000000002,2,
0.299627,,Spot,MCP,10,1000000000,3,
-0.126897,,Spot,MCP,11,1000000002,4,
0.232838,,Spot,MCP,11,1000000000,5,
-0.0638469,,Spot,MCP,12,1000000000,6,
0.0669545,,Spot,MCP,12,1000000002,7,
0.601772,,Spot,MCP,13,1000000002,8,
-0.0801416,,Spot,MCP,13,1000000000,9,
0.0909224,,Spot,MCP,13,1000000002,10,
0.0915602,,Spot,MCP,14,1000000002,11,
-0.119904,,Spot,MCP,14,1000000000,12,
-0.0954617,,Spot,MCP,15,1000000000,13,
0.121599,,Spot,MCP,15,1000000002,14,
0.00705381,,Spot,MCP,16,1000000000,15,
0.0856329,,Spot,MCP,16,1000000002,16,
0.0745683,,Spot,MCP,16,1000000002,17,
-0.11312,,Spot,MCP,17,1000000000,18,
-0.00411313,,Spot,MCP,17,1000000002,19,
-0.0435575,,Spot,MCP,18,1000000000,20,
-0.0100189,,Spot,MCP,18,1000000002,21,
-0.0231587,,Spot,MCP,19,1000000000,22,
-0.0227065,,Spot,MCP,19,1000000002,23,
-0.0666146,,Spot,MCP,20,1000000000,24,
-0.0221182,,Spot,MCP,20,1000000002,25,
