
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
0.325,0.325,0.65,µm,Spot,Diameter,1,1000000000,0,
0.258773,0.258773,0.517546,µm,Spot,Diameter,1,1000000001,1,
0.325,0.325,0.65,µm,Spot,Diameter,2,1000000000,2,
0.258773,0.258773,0.517546,µm,Spot,Diameter,2,1000000001,3,
0.424035,0.424035,0.848069,µm,Spot,Diameter,3,1000000000,4,
0.41751,0.41751,0.83502,µm,Spot,Diameter,3,1000000001,5,
0.364729,0.364729,0.729458,µm,Spot,Diameter,4,1000000000,6,
0.302662,0.302662,0.605325,µm,Spot,Diameter,4,1000000001,7,
0.470219,0.470219,0.940438,µm,Spot,Diameter,5,1000000000,8,
0.258773,0.258773,0.517546,µm,Spot,Diameter,5,1000000000,9,
0.314781,0.314781,0.629563,µm,Spot,Diameter,5,1000000001,10,
0.325,0.325,0.65,µm,Spot,Diameter,6,1000000001,11,
0.41751,0.41751,0.83502,µm,Spot,Diameter,6,1000000000,12,
0.424035,0.424035,0.848069,µm,Spot,Diameter,7,1000000000,13,
0.325,0.325,0.65,µm,Spot,Diameter,7,1000000001,14,
0.325,0.325,0.65,µm,Spot,Diameter,8,1000000000,15,
0.325,0.325,0.65,µm,Spot,Diameter,8,1000000000,16,
0.325,0.325,0.65,µm,Spot,Diameter,10,1000000000,17,
0.190666,0.190666,0.381332,µm,Spot,Diameter,11,1000000000,18,
0.325,0.325,0.65,µm,Spot,Diameter,13,1000000001,19,
0.218258,0.218258,0.436516,µm,Spot,Diameter,13,1000000001,20,
0.325,0.325,0.65,µm,Spot,Diameter,13,1000000000,21,
0.151332,0.151332,0.302664,µm,Spot,Diameter,14,1000000001,22,
0.38133,0.38133,0.76266,µm,Spot,Diameter,14,1000000001,23,
0.453992,0.453992,0.907983,µm,Spot,Diameter,14,1000000000,24,
0.517543,0.517543,1.03509,µm,Spot,Diameter,14,1000000000,25,
0.302662,0.302662,0.605325,µm,Spot,Diameter,15,1000000001,26,
0.325,0.325,0.65,µm,Spot,Diameter,15,1000000001,27,
0.549971,0.549971,1.09994,µm,Spot,Diameter,15,1000000000,28,
0.336557,0.336557,0.673114,µm,Spot,Diameter,15,1000000000,29,
0.389114,0.389114,0.778228,µm,Spot,Diameter,16,1000000001,30,
0.490252,0.490252,0.980504,µm,Spot,Diameter,16,1000000001,31,
0.720664,0.720664,1.44133,µm,Spot,Diameter,16,1000000000,32,
0.538266,0.538266,1.07653,µm,Spot,Diameter,17,1000000001,33,
0.314781,0.314781,0.629563,µm,Spot,Diameter,17,1000000001,34,
0.766606,0.766606,1.53321,µm,Spot,Diameter,17,1000000000,35,
0.629559,0.629559,1.25912,µm,Spot,Diameter,18,1000000001,36,
0.302662,0.302662,0.605325,µm,Spot,Diameter,18,1000000001,37,
0.720664,0.720664,1.44133,µm,Spot,Diameter,18,1000000000,38,
0.538266,0.538266,1.07653,µm,Spot,Diameter,19,1000000001,39,
0.190666,0.190666,0.381332,µm,Spot,Diameter,19,1000000001,40,
0.665372,0.665372,1.33074,µm,Spot,Diameter,19,1000000000,41,
0.485398,0.485398,0.970795,µm,Spot,Diameter,20,1000000001,42,
0.274987,0.274987,0.549975,µm,Spot,Diameter,20,1000000001,43,
0.646582,0.646582,1.29316,µm,Spot,Diameter,20,1000000000,44,
