ID	TrackID	Merge_Flag	Time	Txn_Time	Merge_Time	RelTime_Txn	RelTime_Fus	NumNanogClust	NumNanogClustOvlpDNA	Nanog_Volume	DNA_Volume	RNA_Volume	Overlap_Volume	PearsonCoeff	PearsonCoeff_scramble
11.01_1k_6_5_2	1000000000	1	1	17	10	-16	-9	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	2	17	10	-15	-8	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	3	17	10	-14	-7	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	4	17	10	-13	-6	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	5	17	10	-12	-5	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	6	17	10	-11	-4	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	7	17	10	-10	-3	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	8	17	10	-9	-2	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	9	17	10	-8	-1	2	NA	38	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	10	17	10	-7	0	1	NA	62	0	0	NA	NaN	NaN
11.01_1k_6_5_2	1000000000	1	11	17	10	-6	1	1	1	112	13	0	0	-2.465515e-01	5.208378e-01
11.01_1k_6_5_2	1000000000	1	12	17	10	-5	2	1	1	115	27	0	21	1.575786e-02	-2.318472e-01
11.01_1k_6_5_2	1000000000	1	13	17	10	-4	3	1	1	106	41	0	38	2.457762e-01	-3.735121e-01
11.01_1k_6_5_2	1000000000	1	14	17	10	-3	4	1	1	121	83	0	60	2.744103e-01	-2.844126e-02
11.01_1k_6_5_2	1000000000	1	15	17	10	-2	5	1	1	120	74	0	40	1.924286e-01	1.298432e-01
11.01_1k_6_5_2	1000000000	1	16	17	10	-1	6	1	1	118	72	0	38	2.628747e-01	-5.586554e-02
11.01_1k_6_5_2	1000000000	1	17	17	10	0	7	1	1	123	85	17	45	2.825073e-01	-8.829561e-02
11.01_1k_6_5_2	1000000000	1	18	17	10	1	8	1	1	139	56	16	40	4.242238e-01	6.208275e-02
11.01_1k_6_5_2	1000000000	1	19	17	10	2	9	1	1	133	59	54	33	1.249109e-01	6.057891e-02
11.01_1k_6_5_2	1000000000	1	20	17	10	3	10	1	1	128	83	95	55	2.730642e-01	6.759618e-02
11.01_1k_6_5_1	1000000002	1	1	20	17	-19	-16	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	2	20	17	-18	-15	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	3	20	17	-17	-14	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	4	20	17	-16	-13	0	NA	0	0	0	NA	NaN	NaN
11.01_1k_6_5_1	1000000002	1	5	20	17	-15	-12	0	NA	0	0	0	NA	NaN	NaN
