FileName	Allele	Frame	Nanog_Volume	DNA_Volume	RNA_Volume	Overlap_Volume
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	1	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	1	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	2	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	2	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	3	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	3	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	4	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	4	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	5	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	5	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	6	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	6	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	7	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	7	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	8	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	8	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	9	0	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	9	38	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	10	19	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	10	62	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	11	40	57	0	17
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	11	112	13	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	12	31	72	0	12
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	12	115	27	0	21
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	13	45	18	0	8
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	13	106	41	0	38
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	14	80	39	0	17
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	14	121	83	0	60
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	15	85	24	0	16
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	15	120	74	0	40
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	16	87	62	0	18
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	16	118	72	0	38
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	17	93	43	0	21
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	17	123	85	17	45
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	18	92	37	0	18
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	18	139	56	16	40
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	19	90	95	0	28
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	19	133	59	54	33
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	20	63	103	3	32
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	20	128	83	95	55
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	1	5	135	0	5
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	1	10	151	0	10
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	2	5	114	0	5
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	2	11	161	0	7
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	3	20	103	0	19
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	3	25	139	0	12
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	4	7	110	0	7
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	4	14	163	0	14
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	5	8	134	0	8
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	5	35	173	0	35
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	6	8	124	0	8
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	6	23	166	0	23
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	7	8	136	0	8
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	7	23	256	0	23
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	8	0	132	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	8	19	188	0	19
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	9	0	126	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	9	0	192	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	10	0	65	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	10	9	189	0	4
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	11	0	68	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	11	1	133	0	1
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	12	0	102	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	12	0	185	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	13	12	0	0	0
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	13	12	254	0	7
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	14	17	118	0	14
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	14	66	216	0	65
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	15	19	93	0	14
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	15	60	224	0	50
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	16	50	110	0	41
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	16	108	193	0	102
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	17	52	173	0	45
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	17	137	227	0	126
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	18	81	138	0	59
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	18	109	247	17	102
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	19	46	223	0	45
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	19	81	224	66	72
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	20	37	167	0	35
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	20	76	205	78	76
