FileName	Frame	Allele1	Allele1_scramble	Allele1_scramble_bootstrap	Allele2	Allele2_scramble	Allele2_scramble_bootstrap
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	1	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	2	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	3	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	4	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	5	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	6	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	7	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	8	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	9	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	10	NaN	NaN	NaN	NaN	NaN	NaN
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	11	1.379848e-02	-3.777615e-02	-6.001055e-02	-2.465515e-01	5.208378e-01	1.057167e-01
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	12	1.055199e-02	-1.335922e-01	-5.589239e-02	1.575786e-02	-2.318472e-01	1.948669e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	13	2.795888e-01	4.178886e-01	-3.782320e-02	2.457762e-01	-3.735121e-01	-8.136500e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	14	-8.132675e-02	1.090447e-02	-2.138132e-04	2.744103e-01	-2.844126e-02	2.907265e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	15	2.304940e-01	2.742654e-01	-2.360879e-02	1.924286e-01	1.298432e-01	2.853326e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	16	1.496078e-01	-1.939913e-01	6.361466e-02	2.628747e-01	-5.586554e-02	-1.695490e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	17	2.868203e-01	-1.058427e-01	2.320650e-02	2.825073e-01	-8.829561e-02	-4.997811e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	18	4.163905e-02	-5.741420e-02	1.559172e-03	4.242238e-01	6.208275e-02	-2.070185e-02
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	19	9.998494e-02	4.780445e-02	6.537902e-03	1.249109e-01	6.057891e-02	9.882493e-03
Input/Nanog_miR430_Nuclei_Tif_Format/11.01_1k_6_5.ims.tif	20	1.702314e-01	9.296790e-02	6.714617e-03	2.730642e-01	6.759618e-02	6.647185e-02
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	1	4.634350e-01	-1.363122e-02	-9.121211e-03	3.675246e-01	1.344171e-01	2.128301e-02
Input/Nanog_miR430_Nuclei_Tif_Format/12.01_1k_9_1.ims.tif	2	2.793366e-01	-1.041008e-01	-3.272973e-02	1.304982e-01	-4.514761e-02	-8.078290e-03
